symbol,close,open,high,low,volume
SAPPHIRE.NS,228.18,228.04,230,225.09,329020
SARDAEN.NS,512.5,508.8,515.4,503.7,336777
SAREGAMA.NS,494.3,492.6,502,484.05,382387
SBFC.NS,98.48,99.7,99.8,97.5,647488
SBICARD.NS,674.65,653.1,674.65,648.75,2781077
SBILIFE.NS,1732,1775,1775,1727.8,1155352
SBIN.NS,1005.9,1020.8,1021.7,1000.6,10220001
SCHAEFFLER.NS,3999.6,3956.4,4025.5,3900,31084
SCHNEIDER.NS,1193.6,1224.2,1228.8,1190,134222
SCI.NS,293.75,295.35,298.25,292.6,1033416
SHREECEM.NS,23365,23855,23920,23365,17715
SHRIRAMFIN.NS,1037,1045,1046.1,1029.3,1812019
SHYAMMETL.NS,1082.3,1065.2,1090,1053.2,244531
SIEMENS.NS,3927,3990,3998.1,3904.1,200987
SIGNATURE.NS,799.95,798.7,804,791.85,179010
SJVN.NS,65.56,65,66.07,64.7,2007816
SKFINDIA.NS,1546.6,1559.8,1578,1542.2,24033
SOBHA.NS,1250.1,1276,1276,1243.2,38511
SOLARINDS.NS,21950,21450,22200,21450,227176
SONACOMS.NS,788,786.95,790.85,778,1159441
SONATSOFTW.NS,283.85,285.25,286,273.45,1737278
SRF.NS,2546,2536.2,2560,2526.5,208077
STARHEALTH.NS,565.95,552.85,574,546.95,776080
SUMICHEM.NS,487.9,493.4,497.7,485.2,96847
SUNDARMFIN.NS,4708.3,4639.9,4732.8,4625.1,49899
SUNDRMFAST.NS,1200.5,1219,1224.8,1195,61152
SUNPHARMA.NS,1895,1899,1907.8,1883.1,1579345
SUNTV.NS,452.85,470.95,470.95,451.5,589224
SUPREMEIND.NS,3598,3475,3603.1,3470.1,370941
SUZLON.NS,45.55,45.41,45.55,44.85,28911783
SWANCORP.NS,278.1,280.5,283.85,273.9,1155945
SWIGGY.NS,276.45,277.7,280.5,274.65,23743792
SYNGENE.NS,389.3,395,396.3,387.25,444340
SYRMA.NS,1634.8,1458.5,1645,1458.3,13079561
TARIL.NS,299.65,302.1,303.8,296.7,746125
TATACHEM.NS,613.35,625,627.15,611.1,501210
TATACOMM.NS,1738.5,1754.1,1754.1,1725,185621
TATACONSUM.NS,1015,1014,1019.9,1004,1368015
TATAELXSI.NS,3497,3547.6,3547.9,3475,161685
TATAINVEST.NS,627.8,629.15,631.55,625.75,94363
TATAPOWER.NS,365.7,366.9,369.8,363,4849767
TATASTEEL.NS,185.61,189,190.24,184.37,23695657
TATATECH.NS,785.1,798.1,799.65,778.25,774063
TBOTEK.NS,1705.4,1684,1719.9,1672,172047
TCS.NS,2270,2290.1,2299.9,2260.1,2297551
TECHM.NS,1564,1575.1,1593.6,1545.3,2028588
TECHNOE.NS,962.5,983,986.75,957.25,129751
TEJASNET.NS,593.6,615,616.2,590.05,3912391
THELEELA.NS,543.5,554.95,556.95,541,234413
THERMAX.NS,3622,3638,3670,3593.3,141581
TIINDIA.NS,2683,2690,2709,2679,121565
TIMKEN.NS,3098.7,3148,3150,3085,18234
TITAGARH.NS,896.45,878.75,901.55,866,1383593
TITAN.NS,4995,5010,5028,4958.5,480336
TMCV.NS,459.65,459,461.9,454.15,4403689
TMPV.NS,307,311.5,312,307,6493351
TORNTPHARM.NS,4914,4857,4915,4823,229459
TORNTPOWER.NS,1275.7,1307,1323,1271.2,349676
TRENT.NS,2814.5,2850,2854.4,2772.5,1021019
TRIDENT.NS,23.98,24.17,24.23,23.92,2135046
TRITURBINE.NS,568.75,577.3,578.9,565.5,209558
TRIVENI.NS,276.1,277.05,283.95,273.15,626456
TTML.NS,37.35,37.74,38.09,36.6,1329750
TVSMOTOR.NS,4132,4127,4159.9,4100.7,353313
UBL.NS,1291,1283.8,1305.1,1275.3,181984
UCOBANK.NS,24.42,24.75,24.9,24.32,4573497
ULTRACEMCO.NS,11175,11370,11370,11175,214788
UNIONBANK.NS,186.04,186.5,188.45,183.2,12010754
UNITDSPR.NS,1440,1457.9,1468.4,1431.5,377003
UNOMINDA.NS,1241.7,1245,1252.1,1221.2,390846
UPL.NS,573,580.1,586.75,573,1754057
USHAMART.NS,500.3,514.15,515.1,498.45,545048
UTIAMC.NS,889.95,883.7,892.75,879,64072
VBL.NS,405.95,406,407.6,404,5062827
VEDL.NS,268,272.1,272.5,267,4892640
VENTIVE.NS,580.55,604.5,604.5,578,12470
VGUARD.NS,332.55,333.90,335.45,330.85,382618
VIJAYA.NS,1497.5,1493.2,1527.5,1487.9,101311
VMM.NS,104,106.15,106.57,103.06,19261503
VOLTAS.NS,1167.2,1170,1176.4,1164.4,402813
VTL.NS,590.2,592,598.5,586.4,209417
WAAREEENER.NS,2593,2626,2653,2590,382404
WELCORP.NS,2597.9,2584.9,2674.8,2536.8,1503451
WELSPUNLIV.NS,211.95,210,216,209.02,6124120
WHIRLPOOL.NS,815.35,818.4,825,809,199585
WIPRO.NS,172.8,175.89,176.47,172.65,10720636
WOCKPHARMA.NS,2208,2112.5,2236,2076.2,4319658
YESBANK.NS,22.42,22.44,22.59,22.28,33364009
ZEEL.NS,85.99,88,89,85.42,42609965
ZENSARTECH.NS,453.85,462.7,463.1,450,659073
ZENTEC.NS,1794.6,1801.4,1842,1780,344083
ZFCVINDIA.NS,2491.7,2550.4,2551,2471.1,49999
ZYDUSLIFE.NS,1156.9,1114.2,1163,1114.1,2107281
ABDL.NS,600,609.9,610.4,596.85,428345
ACUTAAS.NS,3181.6,3168.5,3212.7,3160,141224
ANTHEM.NS,933.5,940.05,958.85,931.1,667717
ANURAS.NS,1233.6,1258.8,1266.3,1227.1,286021
BELRISE.NS,230.29,235,238.4,229.25,3431813
CANHLIFE.NS,153.97,158.5,158.5,152.95,1602353
CARTRADE.NS,3179.9,3004,3250,3004,1233314
CEMPRO.NS,1316.9,1297.4,1355,1284.6,401585
CIEINDIA.NS,383.55,390,390,382.3,224191
CPPLUS.NS,3752.9,3705,3803.1,3705,170197
EMMVEE.NS,325.2,323.7,334.7,320.25,2033248
GABRIEL.NS,1363.5,1353.1,1374,1326.7,147826
GALLANTT.NS,572.45,574.5,577.8,566.05,54832
GROWW.NS,194.73,194.75,196.6,191.01,21419848
HDBFS.NS,685.05,682.7,687.15,675.4,1539050
ICICIAMC.NS,3013.7,2970.9,3038.2,2933.3,279992
JAINREC.NS,281.35,277.9,290.6,277.9,1350135
JSWCEMENT.NS,121.81,123.6,125,121.16,1140728
LENSKART.NS,688,688.95,697.25,684.5,3142143
LGEINDIA.NS,1647.8,1654.5,1668.9,1640.1,314218
MEESHO.NS,210.3,209.98,211.24,205.75,15413416
PARADEEP.NS,157.98,157.5,159,155.65,3228904
PINELABS.NS,164.49,168,168.48,163.85,10783461
PIRAMALFIN.NS,2261,2221.2,2290.8,2209.9,500739
PWL.NS,129.67,127.47,130.32,126.54,18012338
SJVN.NS,65.56,65,66.07,64.7,2007816
SPLPETRO.NS,802.5,774.9,805,771.05,863737
TATACAP.NS,369.95,375.05,375.05,365.15,934265
TEGA.NS,1603.5,1560,1638,1540.1,634918
TENNIND.NS,515.45,520,522.85,514.5,229138
TRAVELFOOD.NS,1285.3,1296.5,1312.4,1280.2,22411
URBANCO.NS,176.06,181.84,182.86,175.25,4774283
ZYDUSWELL.NS,555.35,537.3,581,536.65,7627303
JSWDULUX.NS,3186.8,3182,3238.5,3161,31552
ARE&M.NS,842.95,864.2,864.2,836.5,694840
GUJENERGY.NS,261.93,265,267,261.5,1483233
GVT&D.NS,4367.2,4334.5,4389.1,4321.1,295967
J&KBANK.NS,147.88,150.09,150.09,146.5,1078053
LTM.NS,4448,4500,4519.4,4405,361825
OFSS.NS,11847,12105,12110,11679,185270
M&M.NS,3160,3154.1,3178,3145,1715004
M&MFIN.NS,372.35,373.4,375.4,366,1859254
